Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
T2c,5,2015-07-24,7667,775,1,0,0,1
T3a,5,2015-07-24,6740,892,1,0,0,1
T3b,5,2015-07-24,10706,802,1,0,0,0
T3c,5,2015-07-24,5414,636,1,0,0,1
T3d,5,2015-07-24,4149,497,1,0,0,1
T1a,4,2015-07-23,6236,636,1,0,0,1
T1b,4,2015-07-23,4658,771,1,0,0,1
T1c,4,2015-07-23,3814,362,1,0,0,1
T2a,4,2015-07-23,8806,1151,1,0,0,1
T2b,4,2015-07-23,5191,604,1,0,0,0
T2c,4,2015-07-23,8584,755,1,0,0,1
T3a,4,2015-07-23,7008,936,1,0,0,1
T3b,4,2015-07-23,12103,911,1,0,0,0
T3c,4,2015-07-23,5625,625,1,0,0,1
T3d,4,2015-07-23,4910,668,1,0,0,1
T1a,3,2015-07-22,5668,598,1,0,0,1
T1b,3,2015-07-22,5449,796,1,0,0,1
T1c,3,2015-07-22,3480,335,1,0,0,1
T2a,3,2015-07-22,9139,1230,1,0,0,1
T2b,3,2015-07-22,3658,507,1,0,0,0
T2c,3,2015-07-22,7824,776,1,0,0,1
T3a,3,2015-07-22,6622,895,1,0,0,0
T3b,3,2015-07-22,10120,779,1,0,0,0
T3c,3,2015-07-22,5239,615,1,0,0,1
T3d,3,2015-07-22,4036,524,1,0,0,1
T1a,2,2015-07-21,5226,560,1,0,0,1
T1b,2,2015-07-21,5198,846,1,0,0,1
T1c,2,2015-07-21,4125,387,1,0,0,1
T2a,2,2015-07-21,8466,1158,1,0,0,1
T2b,2,2015-07-21,4076,510,1,0,0,0
T2c,2,2015-07-21,7710,757,1,0,0,1
T3a,2,2015-07-21,7138,929,1,0,0,0
T3b,2,2015-07-21,10181,747,1,0,0,0
T3c,2,2015-07-21,5417,662,1,0,0,1
T3d,2,2015-07-21,4606,582,1,0,0,1
T1a,1,2015-07-20,7191,737,1,0,0,1
T1b,1,2015-07-20,5578,889,1,0,0,1
T1c,1,2015-07-20,5016,449,1,0,0,1
T2a,1,2015-07-20,11167,1361,1,0,0,1
T2b,1,2015-07-20,5191,637,1,0,0,0
T2c,1,2015-07-20,9073,843,1,0,0,1
T3a,1,2015-07-20,7669,1043,1,0,0,0
T3b,1,2015-07-20,11005,831,1,0,0,0
T3c,1,2015-07-20,6392,742,1,0,0,1
T3d,1,2015-07-20,5529,673,1,0,0,1
T1a,7,2015-07-19,0,0,0,0,0,0
T1b,7,2015-07-19,0,0,0,0,0,0
T1c,7,2015-07-19,0,0,0,0,0,0
T2a,7,2015-07-19,0,0,0,0,0,0
T2b,7,2015-07-19,0,0,0,0,0,0
T2c,7,2015-07-19,0,0,0,0,0,0
T3a,7,2015-07-19,0,0,0,0,0,0
T3b,7,2015-07-19,0,0,0,0,0,0
T3c,7,2015-07-19,0,0,0,0,0,0
T3d,7,2015-07-19,0,0,0,0,0,0
T1a,6,2015-07-18,7786,775,1,0,0,0
T1b,6,2015-07-18,4929,780,1,0,0,0
T1c,6,2015-07-18,4335,388,1,0,0,0
T2a,6,2015-07-18,11690,1385,1,0,0,0
T2b,6,2015-07-18,2942,311,1,0,0,0
T2c,6,2015-07-18,6103,584,1,0,0,0
T3a,6,2015-07-18,8828,1065,1,0,0,0
T3b,6,2015-07-18,13157,999,1,0,0,0
T3c,6,2015-07-18,5655,669,1,0,0,0
T3d,6,2015-07-18,3115,408,1,0,0,0
T1a,5,2015-07-17,9018,812,1,1,0,0
T1b,5,2015-07-17,5999,826,1,1,0,1
T1c,5,2015-07-17,4674,422,1,1,0,1
T2a,5,2015-07-17,10616,1292,1,1,0,1
T2b,5,2015-07-17,4572,566,1,1,0,0
T2c,5,2015-07-17,10488,954,1,1,0,1
T3a,5,2015-07-17,7192,982,1,1,0,0
T3b,5,2015-07-17,12713,922,1,1,0,0
T3c,5,2015-07-17,7522,820,1,1,0,0
T3d,5,2015-07-17,4448,552,1,1,0,0
T1a,4,2015-07-16,9049,818,1,1,0,0
T1b,4,2015-07-16,8389,1108,1,1,0,1
T1c,4,2015-07-16,5307,440,1,1,0,1
T2a,4,2015-07-16,11260,1365,1,1,0,1
T2b,4,2015-07-16,5261,598,1,1,0,0
T2c,4,2015-07-16,10615,917,1,1,0,1
T3a,4,2015-07-16,7756,998,1,1,0,0
T3b,4,2015-07-16,10979,795,1,1,0,0
T3c,4,2015-07-16,7750,821,1,1,0,0
T3d,4,2015-07-16,5561,694,1,1,0,0
T1a,3,2015-07-15,9383,811,1,1,0,0
T1b,3,2015-07-15,8787,1113,1,1,0,1
T1c,3,2015-07-15,5036,470,1,1,0,0
T2a,3,2015-07-15,11580,1396,1,1,0,0
T2b,3,2015-07-15,6439,719,1,1,0,0
T2c,3,2015-07-15,11967,962,1,1,0,0
T3a,3,2015-07-15,8392,1019,1,1,0,0
T3b,3,2015-07-15,12209,889,1,1,0,0
T3c,3,2015-07-15,7723,778,1,1,0,0
T3d,3,2015-07-15,5370,674,1,1,0,0
T1a,2,2015-07-14,9399,866,1,1,0,0
T1b,2,2015-07-14,8337,1049,1,1,0,1
T1c,2,2015-07-14,5065,437,1,1,0,0
T2a,2,2015-07-14,10778,1311,1,1,0,0
T2b,2,2015-07-14,6288,683,1,1,0,0
T2c,2,2015-07-14,11072,903,1,1,0,0
T3a,2,2015-07-14,9037,1033,1,1,0,0
T3b,2,2015-07-14,12668,882,1,1,0,0
T3c,2,2015-07-14,7739,853,1,1,0,0
T3d,2,2015-07-14,5558,684,1,1,0,0
T1a,1,2015-07-13,11252,973,1,1,0,0
T1b,1,2015-07-13,10030,1242,1,1,0,1
T1c,1,2015-07-13,6530,528,1,1,0,0
T2a,1,2015-07-13,12811,1456,1,1,0,0
T2b,1,2015-07-13,7676,711,1,1,0,0
T2c,1,2015-07-13,11833,1000,1,1,0,0
T3a,1,2015-07-13,8224,980,1,1,0,0
T3b,1,2015-07-13,17106,1151,1,1,0,0
T3c,1,2015-07-13,8808,886,1,1,0,0
T3d,1,2015-07-13,6903,796,1,1,0,0
T1a,7,2015-07-12,0,0,0,0,0,0
T1b,7,2015-07-12,0,0,0,0,0,0
T1c,7,2015-07-12,0,0,0,0,0,0
T2a,7,2015-07-12,0,0,0,0,0,0
T2b,7,2015-07-12,0,0,0,0,0,0
T2c,7,2015-07-12,0,0,0,0,0,0
T3a,7,2015-07-12,0,0,0,0,0,0
T3b,7,2015-07-12,0,0,0,0,0,0
T3c,7,2015-07-12,0,0,0,0,0,0
T3d,7,2015-07-12,0,0,0,0,0,0
T1a,6,2015-07-11,7051,729,1,0,0,0
T1b,6,2015-07-11,5330,760,1,0,0,0
T1c,6,2015-07-11,4465,389,1,0,0,0
T2a,6,2015-07-11,11023,1398,1,0,0,0
T2b,6,2015-07-11,3320,366,1,0,0,0
T2c,6,2015-07-11,6580,587,1,0,0,0
T3a,6,2015-07-11,8329,1019,1,0,0,0
T3b,6,2015-07-11,10824,817,1,0,0,0
T3c,6,2015-07-11,5253,619,1,0,0,0
T3d,6,2015-07-11,2552,355,1,0,0,0
T1a,5,2015-07-10,6774,737,1,0,0,0
T1b,5,2015-07-10,5972,890,1,0,0,1
T1c,5,2015-07-10,4774,448,1,0,0,0
T2a,5,2015-07-10,9768,1225,1,0,0,0
T2b,5,2015-07-10,4513,529,1,0,0,0
T2c,5,2015-07-10,9170,847,1,0,0,0
T3a,5,2015-07-10,6846,946,1,0,0,0
T3b,5,2015-07-10,11837,884,1,0,0,0
T3c,5,2015-07-10,6647,784,1,0,0,0
T3d,5,2015-07-10,4385,530,1,0,0,0
T1a,4,2015-07-09,6404,694,1,0,0,0
T1b,4,2015-07-09,5465,857,1,0,0,1
T1c,4,2015-07-09,4254,413,1,0,0,0
T2a,4,2015-07-09,9216,1193,1,0,0,0
T2b,4,2015-07-09,4554,592,1,0,0,0
T2c,4,2015-07-09,8987,878,1,0,0,0
T3a,4,2015-07-09,6701,910,1,0,0,0
T3b,4,2015-07-09,12246,887,1,0,0,0
T3c,4,2015-07-09,5833,696,1,0,0,0
T3d,4,2015-07-09,4510,609,1,0,0,0
T1a,3,2015-07-08,6854,711,1,0,0,0
T1b,3,2015-07-08,5927,867,1,0,0,1
T1c,3,2015-07-08,4669,432,1,0,0,0
T2a,3,2015-07-08,9843,1317,1,0,0,0
T2b,3,2015-07-08,4756,641,1,0,0,0
T2c,3,2015-07-08,8802,832,1,0,0,0
T3a,3,2015-07-08,6869,909,1,0,0,0
T3b,3,2015-07-08,11934,856,1,0,0,0
T3c,3,2015-07-08,6046,677,1,0,0,0
T3d,3,2015-07-08,5116,698,1,0,0,0
T1a,2,2015-07-07,6208,652,1,0,0,0
T1b,2,2015-07-07,5397,855,1,0,0,1
T1c,2,2015-07-07,4714,401,1,0,0,0
T2a,2,2015-07-07,9605,1270,1,0,0,0
T2b,2,2015-07-07,3912,539,1,0,0,0
T2c,2,2015-07-07,9088,812,1,0,0,0
T3a,2,2015-07-07,6749,910,1,0,0,0
T3b,2,2015-07-07,9861,716,1,0,0,0
T3c,2,2015-07-07,6109,734,1,0,0,0
T3d,2,2015-07-07,4393,592,1,0,0,0
T1a,1,2015-07-06,8033,841,1,0,0,0
T1b,1,2015-07-06,8156,1147,1,0,0,1
T1c,1,2015-07-06,5196,483,1,0,0,0
T2a,1,2015-07-06,11512,1436,1,0,0,0
T2b,1,2015-07-06,4869,626,1,0,0,0
T2c,1,2015-07-06,9080,891,1,0,0,0
T3a,1,2015-07-06,7842,1015,1,0,0,0
T3b,1,2015-07-06,11781,882,1,0,0,0
T3c,1,2015-07-06,7261,818,1,0,0,0
T3d,1,2015-07-06,5396,705,1,0,0,0
T1a,7,2015-07-05,0,0,0,0,0,0
T1b,7,2015-07-05,0,0,0,0,0,0
T1c,7,2015-07-05,0,0,0,0,0,0
T2a,7,2015-07-05,0,0,0,0,0,0
T2b,7,2015-07-05,0,0,0,0,0,0
T2c,7,2015-07-05,0,0,0,0,0,0
T3a,7,2015-07-05,0,0,0,0,0,0
T3b,7,2015-07-05,0,0,0,0,0,0
T3c,7,2015-07-05,0,0,0,0,0,0
T3d,7,2015-07-05,0,0,0,0,0,0
T1a,6,2015-07-04,6413,716,1,0,0,0
T1b,6,2015-07-04,4712,682,1,0,0,0
T1c,6,2015-07-04,4752,415,1,0,0,0
T2a,6,2015-07-04,10333,1359,1,0,0,0
T2b,6,2015-07-04,3861,374,1,0,0,0
T2c,6,2015-07-04,6488,587,1,0,0,0
T3a,6,2015-07-04,7995,1060,1,0,0,0
T3b,6,2015-07-04,11174,857,1,0,0,0
T3c,6,2015-07-04,5761,660,1,0,0,0
T3d,6,2015-07-04,3312,388,1,0,0,0
T1a,5,2015-07-03,10279,898,1,1,0,0
T1b,5,2015-07-03,7194,990,1,1,0,1
T1c,5,2015-07-03,5124,448,1,1,0,0
T2a,5,2015-07-03,11682,1391,1,1,0,0
T2b,5,2015-07-03,6329,635,1,1,0,0
T2c,5,2015-07-03,10272,905,1,1,0,0
T3a,5,2015-07-03,7943,984,1,1,0,0
T3b,5,2015-07-03,13208,937,1,1,0,0
T3c,5,2015-07-03,7814,859,1,1,0,0
T3d,5,2015-07-03,4659,591,1,1,0,0
T1a,4,2015-07-02,9435,816,1,1,0,0
T1b,4,2015-07-02,7985,1036,1,1,0,1
T1c,4,2015-07-02,5161,446,1,1,0,0
T2a,4,2015-07-02,11469,1365,1,1,0,0
T2b,4,2015-07-02,5347,598,1,1,0,0
T2c,4,2015-07-02,10910,951,1,1,0,0
T3a,4,2015-07-02,8560,1038,1,1,0,0
T3b,4,2015-07-02,12438,886,1,1,0,0
T3c,4,2015-07-02,8106,831,1,1,0,0
T3d,4,2015-07-02,5193,678,1,1,0,0
T1a,3,2015-07-01,9632,874,1,1,0,0
T1b,3,2015-07-01,9000,1182,1,1,0,1
T1c,3,2015-07-01,5209,433,1,1,0,0
T2a,3,2015-07-01,12131,1405,1,1,0,0
T2b,3,2015-07-01,6129,618,1,1,0,0
T2c,3,2015-07-01,10796,964,1,1,0,0
T3a,3,2015-07-01,9152,1029,1,1,0,0
T3b,3,2015-07-01,13746,917,1,1,0,0
T3c,3,2015-07-01,8369,851,1,1,0,0
T3d,3,2015-07-01,6092,705,1,1,0,0
T1a,2,2015-06-30,11435,927,1,1,0,0
T1b,2,2015-06-30,13419,1478,1,1,0,1
T1c,2,2015-06-30,6083,464,1,1,0,0
T2a,2,2015-06-30,12983,1452,1,1,0,0
T2b,2,2015-06-30,7573,712,1,1,0,0
T2c,2,2015-06-30,11739,988,1,1,0,0
T3a,2,2015-06-30,9740,1085,1,1,0,0
T3b,2,2015-06-30,14130,939,1,1,0,0
T3c,2,2015-06-30,10504,974,1,1,0,0
T3d,2,2015-06-30,5989,668,1,1,0,0
T1a,1,2015-06-29,11099,938,1,1,0,0
T1b,1,2015-06-29,12311,1386,1,1,0,1
T1c,1,2015-06-29,6318,502,1,1,0,0
T2a,1,2015-06-29,12375,1396,1,1,0,0
T2b,1,2015-06-29,8517,802,1,1,0,0
T2c,1,2015-06-29,11915,983,1,1,0,0
T3a,1,2015-06-29,10046,1107,1,1,0,0
T3b,1,2015-06-29,16675,1095,1,1,0,0
T3c,1,2015-06-29,8650,876,1,1,0,0
T3d,1,2015-06-29,6153,697,1,1,0,0
T1a,7,2015-06-28,0,0,0,0,0,0
T1b,7,2015-06-28,0,0,0,0,0,0
T1c,7,2015-06-28,0,0,0,0,0,0
T2a,7,2015-06-28,0,0,0,0,0,0
T2b,7,2015-06-28,0,0,0,0,0,0
T2c,7,2015-06-28,0,0,0,0,0,0
T3a,7,2015-06-28,0,0,0,0,0,0
T3b,7,2015-06-28,0,0,0,0,0,0
T3c,7,2015-06-28,0,0,0,0,0,0
T3d,7,2015-06-28,0,0,0,0,0,0
T1a,6,2015-06-27,5976,684,1,0,0,0
T1b,6,2015-06-27,5535,847,1,0,0,0
T1c,6,2015-06-27,4114,360,1,0,0,0
T2a,6,2015-06-27,11588,1571,1,0,0,0
T2b,6,2015-06-27,2974,329,1,0,0,0
T2c,6,2015-06-27,5959,544,1,0,0,0
T3a,6,2015-06-27,7804,979,1,0,0,0
T3b,6,2015-06-27,12538,960,1,0,0,0
T3c,6,2015-06-27,4760,580,1,0,0,0
T3d,6,2015-06-27,3219,393,1,0,0,0
T1a,5,2015-06-26,6572,680,1,0,0,0
T1b,5,2015-06-26,4921,765,1,0,0,0
T1c,5,2015-06-26,4103,419,1,0,0,0
T2a,5,2015-06-26,8333,1193,1,0,0,0
T2b,5,2015-06-26,4788,565,1,0,0,0
T2c,5,2015-06-26,8414,851,1,0,0,0
T3a,5,2015-06-26,6584,922,1,0,0,0
T3b,5,2015-06-26,10600,767,1,0,0,0
T3c,5,2015-06-26,5166,656,1,0,0,0
T3d,5,2015-06-26,3410,504,1,0,0,0
T1a,4,2015-06-25,4997,583,1,0,0,0
T1b,4,2015-06-25,4655,765,1,0,0,0
T1c,4,2015-06-25,4092,382,1,0,0,0
T2a,4,2015-06-25,8196,1161,1,0,0,0
T2b,4,2015-06-25,4533,615,1,0,0,0
T2c,4,2015-06-25,7318,768,1,0,0,0
T3a,4,2015-06-25,5885,827,1,0,0,0
T3b,4,2015-06-25,9502,796,1,0,0,0
T3c,4,2015-06-25,5177,642,1,0,0,0
T3d,4,2015-06-25,4002,563,1,0,0,0
T1a,3,2015-06-24,5827,643,1,0,0,0
T1b,3,2015-06-24,5524,850,1,0,0,0
T1c,3,2015-06-24,4235,389,1,0,0,0
T2a,3,2015-06-24,8687,1185,1,0,0,0
T2b,3,2015-06-24,4031,589,1,0,0,0
T2c,3,2015-06-24,8539,855,1,0,0,0
T3a,3,2015-06-24,6078,856,1,0,0,0
T3b,3,2015-06-24,8964,675,1,0,0,0
T3c,3,2015-06-24,5113,630,1,0,0,0
T3d,3,2015-06-24,3849,544,1,0,0,0
T1a,2,2015-06-23,5537,648,1,0,0,0
T1b,2,2015-06-23,5270,797,1,0,0,0
T1c,2,2015-06-23,3582,337,1,0,0,0
T2a,2,2015-06-23,8534,1150,1,0,0,0
T2b,2,2015-06-23,4259,583,1,0,0,0
T2c,2,2015-06-23,6815,668,1,0,0,0
T3a,2,2015-06-23,7175,871,1,0,0,0
T3b,2,2015-06-23,9245,719,1,0,0,0
T3c,2,2015-06-23,5284,686,1,0,0,0
T3d,2,2015-06-23,3202,508,1,0,0,0
T1a,1,2015-06-22,5461,672,1,0,0,0
T1b,1,2015-06-22,4896,757,1,0,0,0
T1c,1,2015-06-22,4266,425,1,0,0,0
T2a,1,2015-06-22,9513,1287,1,0,0,0
T2b,1,2015-06-22,4837,572,1,0,0,0
T2c,1,2015-06-22,9218,899,1,0,0,0
T3a,1,2015-06-22,5974,839,1,0,0,0
T3b,1,2015-06-22,10621,859,1,0,0,0
T3c,1,2015-06-22,5617,727,1,0,0,0
T3d,1,2015-06-22,4662,678,1,0,0,0
T1a,7,2015-06-21,0,0,0,0,0,0
T1b,7,2015-06-21,0,0,0,0,0,0
T1c,7,2015-06-21,0,0,0,0,0,0
T2a,7,2015-06-21,0,0,0,0,0,0
T2b,7,2015-06-21,0,0,0,0,0,0
T2c,7,2015-06-21,0,0,0,0,0,0
T3a,7,2015-06-21,0,0,0,0,0,0
T3b,7,2015-06-21,0,0,0,0,0,0
T3c,7,2015-06-21,0,0,0,0,0,0
T3d,7,2015-06-21,0,0,0,0,0,0
T1a,6,2015-06-20,6581,723,1,0,0,0
T1b,6,2015-06-20,5787,888,1,0,0,0
T1c,6,2015-06-20,3433,329,1,0,0,0
T2a,6,2015-06-20,11414,1402,1,0,0,0
T2b,6,2015-06-20,3457,367,1,0,0,0
T2c,6,2015-06-20,6047,581,1,0,0,0
T3a,6,2015-06-20,7771,969,1,0,0,0
T3b,6,2015-06-20,12653,961,1,0,0,0
T3c,6,2015-06-20,4885,580,1,0,0,0
T3d,6,2015-06-20,2892,388,1,0,0,0
T1a,5,2015-06-19,8779,829,1,1,0,0
T1b,5,2015-06-19,6932,936,1,1,0,0
T1c,5,2015-06-19,4735,409,1,1,0,0
T2a,5,2015-06-19,10319,1300,1,1,0,0
T2b,5,2015-06-19,6249,657,1,1,0,0
T2c,5,2015-06-19,9912,915,1,1,0,0
T3a,5,2015-06-19,7537,976,1,1,0,0
T3b,5,2015-06-19,14199,992,1,1,0,0
T3c,5,2015-06-19,7340,783,1,1,0,0
T3d,5,2015-06-19,4179,560,1,1,0,0
T1a,4,2015-06-18,8181,771,1,1,0,0
T1b,4,2015-06-18,7126,997,1,1,0,0
T1c,4,2015-06-18,4279,411,1,1,0,0
T2a,4,2015-06-18,9720,1290,1,1,0,0
T2b,4,2015-06-18,4657,561,1,1,0,0
T2c,4,2015-06-18,8719,815,1,1,0,0
T3a,4,2015-06-18,7157,917,1,1,0,0
T3b,4,2015-06-18,12621,912,1,1,0,0
T3c,4,2015-06-18,6601,745,1,1,0,0
T3d,4,2015-06-18,4354,577,1,1,0,0
T1a,3,2015-06-17,7706,734,1,1,0,0
T1b,3,2015-06-17,8412,1166,1,1,0,0
T1c,3,2015-06-17,4849,442,1,1,0,0
T2a,3,2015-06-17,10398,1284,1,1,0,0
T2b,3,2015-06-17,5887,683,1,1,0,0
T2c,3,2015-06-17,10250,902,1,1,0,0
T3a,3,2015-06-17,6929,895,1,1,0,0
T3b,3,2015-06-17,12238,868,1,1,0,0
T3c,3,2015-06-17,7001,737,1,1,0,0
T3d,3,2015-06-17,4354,557,1,1,0,0
T1a,2,2015-06-16,8920,845,1,1,0,0
T1b,2,2015-06-16,9318,1223,1,1,0,0
T1c,2,2015-06-16,6128,489,1,1,0,0
T2a,2,2015-06-16,10995,1318,1,1,0,0
T2b,2,2015-06-16,6480,714,1,1,0,0
T2c,2,2015-06-16,10642,936,1,1,0,0
T3a,2,2015-06-16,7561,930,1,1,0,0
T3b,2,2015-06-16,14284,987,1,1,0,0
T3c,2,2015-06-16,7459,790,1,1,0,0
T3d,2,2015-06-16,5599,682,1,1,0,0
T1a,1,2015-06-15,10742,987,1,1,0,0
T1b,1,2015-06-15,11750,1449,1,1,0,0
T1c,1,2015-06-15,6766,577,1,1,0,0
T2a,1,2015-06-15,12954,1499,1,1,0,0
T2b,1,2015-06-15,8358,816,1,1,0,0
T2c,1,2015-06-15,12275,1052,1,1,0,0
T3a,1,2015-06-15,9335,1054,1,1,0,0
T3b,1,2015-06-15,17483,1058,1,1,0,0
T3c,1,2015-06-15,9437,943,1,1,0,0
T3d,1,2015-06-15,5979,717,1,1,0,0
T1a,7,2015-06-14,0,0,0,0,0,0
T1b,7,2015-06-14,0,0,0,0,0,0
T1c,7,2015-06-14,0,0,0,0,0,0
T2a,7,2015-06-14,0,0,0,0,0,0
T2b,7,2015-06-14,0,0,0,0,0,0
T2c,7,2015-06-14,0,0,0,0,0,0
T3a,7,2015-06-14,0,0,0,0,0,0
T3b,7,2015-06-14,0,0,0,0,0,0
T3c,7,2015-06-14,0,0,0,0,0,0
T3d,7,2015-06-14,0,0,0,0,0,0
T1a,6,2015-06-13,7092,743,1,0,0,0
T1b,6,2015-06-13,5886,852,1,0,0,0
T1c,6,2015-06-13,3404,321,1,0,0,0
T2a,6,2015-06-13,11274,1396,1,0,0,0
T2b,6,2015-06-13,3575,402,1,0,0,0
T2c,6,2015-06-13,6240,568,1,0,0,0
T3a,6,2015-06-13,7496,971,1,0,0,0
T3b,6,2015-06-13,13462,953,1,0,0,0
T3c,6,2015-06-13,5241,625,1,0,0,0
T3d,6,2015-06-13,3022,389,1,0,0,0
T1a,5,2015-06-12,6725,715,1,0,0,0
T1b,5,2015-06-12,5128,834,1,0,0,0
T1c,5,2015-06-12,4442,415,1,0,0,0
T2a,5,2015-06-12,9255,1220,1,0,0,0
T2b,5,2015-06-12,4640,544,1,0,0,0
T2c,5,2015-06-12,9038,868,1,0,0,0
T3a,5,2015-06-12,7148,928,1,0,0,0
T3b,5,2015-06-12,11281,823,1,0,0,0
T3c,5,2015-06-12,6019,747,1,0,0,0
T3d,5,2015-06-12,3438,491,1,0,0,0
T1a,4,2015-06-11,6310,709,1,0,0,0
T1b,4,2015-06-11,5678,869,1,0,0,0
T1c,4,2015-06-11,3520,365,1,0,0,0
T2a,4,2015-06-11,9143,1290,1,0,0,0
T2b,4,2015-06-11,3925,592,1,0,0,0
T2c,4,2015-06-11,7977,787,1,0,0,0
T3a,4,2015-06-11,7185,910,1,0,0,0
T3b,4,2015-06-11,9562,746,1,0,0,0
T3c,4,2015-06-11,5848,716,1,0,0,0
T3d,4,2015-06-11,3799,581,1,0,0,0
T1a,3,2015-06-10,6378,694,1,0,0,0
T1b,3,2015-06-10,5741,866,1,0,0,0
T1c,3,2015-06-10,4135,406,1,0,0,0
T2a,3,2015-06-10,8733,1152,1,0,0,0
T2b,3,2015-06-10,4647,642,1,0,0,0
T2c,3,2015-06-10,7848,807,1,0,0,0
T3a,3,2015-06-10,6425,851,1,0,0,0
T3b,3,2015-06-10,10674,815,1,0,0,0
T3c,3,2015-06-10,5181,657,1,0,0,0
T3d,3,2015-06-10,3891,577,1,0,0,0
T1a,2,2015-06-09,5477,657,1,0,0,0
T1b,2,2015-06-09,6941,970,1,0,0,0
T1c,2,2015-06-09,4826,432,1,0,0,0
T2a,2,2015-06-09,9057,1172,1,0,0,0
T2b,2,2015-06-09,5154,635,1,0,0,0
T2c,2,2015-06-09,7826,799,1,0,0,0
T3a,2,2015-06-09,6699,884,1,0,0,0
T3b,2,2015-06-09,11311,808,1,0,0,0
T3c,2,2015-06-09,5521,692,1,0,0,0
T3d,2,2015-06-09,4123,585,1,0,0,0
T1a,1,2015-06-08,7398,805,1,0,0,0
T1b,1,2015-06-08,6425,979,1,0,0,0
T1c,1,2015-06-08,4978,481,1,0,0,0
T2a,1,2015-06-08,10961,1417,1,0,0,0
