,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
2013-02-28,40,62226,7482,9,0,0,0
2013-03-01,50,62321,7474,9,0,0,0
2013-03-02,60,60845,7201,9,0,0,0
2013-03-03,70,0,0,0,0,0,0
2013-03-04,10,83117,9288,9,10,0,0
2013-03-05,20,67272,7924,9,10,0,0
2013-03-06,30,64969,7632,9,10,0,0
2013-03-07,40,61336,7489,9,10,0,0
2013-03-08,50,64050,7628,9,10,0,0
2013-03-09,60,52702,6371,9,0,0,0
2013-03-10,70,0,0,0,0,0,0
2013-03-11,10,52236,6577,9,0,0,0
2013-03-12,20,49495,6348,9,0,0,0
2013-03-13,30,51601,6545,9,0,0,0
2013-03-14,40,51683,6521,9,0,0,0
2013-03-15,50,58085,7065,9,0,0,0
2013-03-16,60,54312,6530,9,0,0,0
2013-03-17,70,0,0,0,0,0,0
2013-03-18,10,74722,8286,9,10,0,1
2013-03-19,20,64392,7322,9,10,0,1
2013-03-20,30,62148,6978,9,10,0,1
2013-03-21,40,62511,7224,9,10,0,1
2013-03-22,50,63653,7561,9,10,0,1
2013-03-23,60,54552,6494,9,0,0,1
2013-03-24,70,0,0,0,0,0,1
2013-03-25,10,77819,8463,9,10,0,10
2013-03-26,20,68896,7683,9,10,0,10
2013-03-27,30,72825,7968,9,10,0,10
2013-03-28,40,90897,9801,9,10,0,10
2013-03-29,50,0,0,0,10,10,10
2013-03-30,60,82720,9241,9,0,0,0
2013-03-31,70,0,0,0,0,0,0
2013-04-01,10,0,0,0,0,10,10
2013-04-02,20,63631,7665,8,0,0,10
2013-04-03,30,53136,6580,8,0,0,9
2013-04-04,40,51667,6494,8,0,0,9
2013-04-05,50,52555,6208,8,0,0,9
2013-04-06,60,51050,6245,8,0,0,0
2013-04-07,70,0,0,0,0,0,0
2013-04-08,10,75614,8292,8,10,0,3
2013-04-09,20,63631,7318,8,10,0,3
2013-04-10,30,57684,6818,8,10,0,0
2013-04-11,40,57750,6759,8,10,0,0
2013-04-12,50,60441,7182,8,10,0,0
2013-04-13,60,50802,6389,8,0,0,0
2013-04-14,70,0,0,0,0,0,0
2013-04-15,10,48245,6425,8,0,0,0
2013-04-16,20,46933,6153,8,0,0,0
2013-04-17,30,45308,6089,8,0,0,0
2013-04-18,40,47270,6196,8,0,0,0
2013-04-19,50,52274,6478,8,0,0,0
2013-04-20,60,52178,6299,8,0,0,0
2013-04-21,70,0,0,0,0,0,0
2013-04-22,10,73737,8273,8,10,0,0
2013-04-23,20,60100,6996,8,10,0,0
2013-04-24,30,55953,6815,8,10,0,0
2013-04-25,40,55755,6817,8,10,0,0
2013-04-26,50,59955,6814,8,10,0,0
2013-04-27,60,54788,6414,8,0,0,0
2013-04-28,70,0,0,0,0,0,0
2013-04-29,10,98050,9494,9,10,0,0
2013-04-30,20,97958,10147,9,10,0,0
2013-05-01,30,0,0,0,10,10,0
2013-05-02,40,90682,9767,9,10,0,0
2013-05-03,50,83524,9003,9,10,0,0
2013-05-04,60,61774,7195,9,0,0,0
2013-05-05,70,0,0,0,0,0,0
2013-05-06,10,62847,7808,9,0,0,0
2013-05-07,20,59291,7398,9,0,0,0
2013-05-08,30,67846,8398,9,0,0,0
2013-05-09,40,0,0,0,0,10,0
2013-05-10,50,78046,8844,9,0,0,7
2013-05-11,60,61628,7368,9,0,0,0
2013-05-12,70,0,0,0,0,0,0
2013-05-13,10,83871,9028,9,10,0,0
2013-05-14,20,70596,8108,9,10,0,0
2013-05-15,30,65080,7482,9,10,0,0
2013-05-16,40,65754,7839,9,10,0,0
2013-05-17,50,68839,7993,9,10,0,0
2013-05-18,60,58173,7066,9,0,0,0
2013-05-19,70,0,0,0,0,0,0
2013-05-20,10,0,0,0,0,10,0
2013-05-21,20,64308,7756,9,0,0,7
2013-05-22,30,53704,6496,9,0,0,2
2013-05-23,40,52978,6680,9,0,0,2
2013-05-24,50,55337,7017,9,0,0,2
2013-05-25,60,52727,6203,9,0,0,0
2013-05-26,70,0,0,0,0,0,0
2013-05-27,10,81805,8759,9,10,0,2
2013-05-28,20,67864,7590,9,10,0,2
2013-05-29,30,67495,7484,9,10,0,2
2013-05-30,40,47400,5339,6,10,3,2
2013-05-31,50,89944,9204,9,10,0,2
2013-06-01,60,65752,7401,9,0,0,0
2013-06-02,70,0,0,0,0,0,0
2013-06-03,10,86837,9509,9,10,0,0
2013-06-04,20,71272,8212,9,10,0,0
2013-06-05,30,66133,7756,9,10,0,0
2013-06-06,40,65088,7720,9,10,0,0
2013-06-07,50,68722,8034,9,10,0,0
2013-06-08,60,57112,6882,9,0,0,0
2013-06-09,70,0,0,0,0,0,0
2013-06-10,10,60989,7576,9,0,0,0
2013-06-11,20,56649,7086,9,0,0,0
2013-06-12,30,51791,6644,9,0,0,0
2013-06-13,40,52411,6509,9,0,0,0
2013-06-14,50,60000,7172,9,0,0,0
2013-06-15,60,56843,6642,9,0,0,0
2013-06-16,70,0,0,0,0,0,0
2013-06-17,10,85272,9121,9,10,0,0
2013-06-18,20,68205,7596,9,10,0,0
2013-06-19,30,61652,7238,9,10,0,3
2013-06-20,40,60356,7019,9,10,0,3
2013-06-21,50,72909,8156,9,10,0,3
2013-06-22,60,57198,6711,9,0,0,0
2013-06-23,70,0,0,0,0,0,0
2013-06-24,10,59604,7228,9,0,0,6
2013-06-25,20,47370,6041,9,0,0,6
2013-06-26,30,52067,6428,9,0,0,6
2013-06-27,40,54119,6556,9,0,0,7
2013-06-28,50,66362,7367,9,0,0,7
2013-06-29,60,61462,7061,9,0,0,0
2013-06-30,70,0,0,0,0,0,0
2013-07-01,10,88977,9304,9,10,0,7
2013-07-02,20,73899,8041,9,10,0,7
2013-07-03,30,65044,7285,9,10,0,7
2013-07-04,40,58044,6790,8,10,0,7
2013-07-05,50,78791,8075,9,10,0,7
2013-07-06,60,52596,6144,9,0,0,1
2013-07-07,70,0,0,0,0,0,1
2013-07-08,10,62888,7159,9,0,0,7
2013-07-09,20,54189,6526,9,0,0,7
2013-07-10,30,53642,6298,9,0,0,7
2013-07-11,40,52842,6188,9,0,0,7
2013-07-12,50,57960,6675,9,0,0,7
2013-07-13,60,52398,6137,9,0,0,1
2013-07-14,70,0,0,0,0,0,1
2013-07-15,10,117657,10689,10,10,0,7
2013-07-16,20,86259,8617,10,10,0,7
2013-07-17,30,75568,8096,10,10,0,7
2013-07-18,40,76095,8029,10,10,0,7
2013-07-19,50,78776,8576,10,10,0,7
2013-07-20,60,57953,6685,10,0,0,1
2013-07-21,70,0,0,0,0,0,1
2013-07-22,10,58198,7140,10,0,0,8
2013-07-23,20,54623,6634,10,0,0,8
2013-07-24,30,55210,6707,10,0,0,8
2013-07-25,40,56565,6836,10,0,0,9
2013-07-26,50,57302,6822,10,0,0,9
2013-07-27,60,53536,6230,10,0,0,1
2013-07-28,70,0,0,0,0,0,1
2013-07-29,10,96752,9762,10,10,0,9
2013-07-30,20,87087,8840,10,10,0,9
2013-07-31,30,92693,9468,10,10,0,10
2013-08-01,40,83640,8815,10,10,0,10
2013-08-02,50,76439,8302,10,10,0,10
2013-08-03,60,63891,7358,10,0,0,1
2013-08-04,70,0,0,0,0,0,1
2013-08-05,10,79292,9286,10,0,0,4
2013-08-06,20,67820,8292,10,0,0,4
2013-08-07,30,65970,8071,10,0,0,4
2013-08-08,40,63844,7932,10,0,0,3
2013-08-09,50,63961,7783,10,0,0,3
2013-08-10,60,57466,7006,10,0,0,0
2013-08-11,70,0,0,0,0,0,0
2013-08-12,10,101880,10605,10,10,0,3
2013-08-13,20,79203,8840,10,10,0,3
2013-08-14,30,76584,8753,10,10,0,3
2013-08-15,40,61887,7518,9,10,1,3
2013-08-16,50,74461,8633,10,10,0,3
2013-08-17,60,53786,6577,10,0,0,0
2013-08-18,70,0,0,0,0,0,0
2013-08-19,10,63396,8010,10,0,0,3
2013-08-20,20,58290,7165,10,0,0,3
2013-08-21,30,53786,6886,10,0,0,3
2013-08-22,40,54993,6942,10,0,0,3
2013-08-23,50,57455,7118,10,0,0,3
2013-08-24,60,54115,6559,10,0,0,0
2013-08-25,70,0,0,0,0,0,0
2013-08-26,10,90515,9655,10,10,0,3
2013-08-27,20,72100,8179,10,10,0,3
2013-08-28,30,70510,7949,10,10,0,3
2013-08-29,40,70452,7989,10,10,0,3
2013-08-30,50,86627,9358,10,10,0,3
2013-08-31,60,63489,7269,10,0,0,0
2013-09-01,70,0,0,0,0,0,0
2013-09-02,10,66100,7783,10,0,0,3
2013-09-03,20,59560,7503,10,0,0,3
2013-09-04,30,57634,7146,10,0,0,2
2013-09-05,40,53310,6781,10,0,0,2
2013-09-06,50,57651,7052,10,0,0,2
2013-09-07,60,56707,6828,10,0,0,0
2013-09-08,70,0,0,0,0,0,0
2013-09-09,10,92884,9575,10,10,0,1
2013-09-10,20,76864,8322,10,10,0,1
2013-09-11,30,72738,8242,10,10,0,1
2013-09-12,40,71220,8304,10,10,0,0
2013-09-13,50,73798,8494,10,10,0,0
2013-09-14,60,56422,6855,10,0,0,0
2013-09-15,70,0,0,0,0,0,0
2013-09-16,10,61804,7687,10,0,0,0
2013-09-17,20,54503,7084,10,0,0,0
2013-09-18,30,49564,6473,10,0,0,0
2013-09-19,40,54974,7069,10,0,0,0
2013-09-20,50,54706,6938,10,0,0,0
2013-09-21,60,56472,6757,10,0,0,0
2013-09-22,70,0,0,0,0,0,0
2013-09-23,10,79158,8749,10,10,0,0
2013-09-24,20,69186,7867,10,10,0,0
2013-09-25,30,65510,7689,10,10,0,0
2013-09-26,40,64702,7715,10,10,0,0
2013-09-27,50,72345,8102,10,10,0,0
2013-09-28,60,58778,6902,10,0,0,0
2013-09-29,70,0,0,0,0,0,0
2013-09-30,10,71601,8284,10,0,0,3
2013-10-01,20,63231,7753,10,0,0,3
2013-10-02,30,69900,8483,10,0,0,3
2013-10-03,40,4959,870,1,0,10,3
2013-10-04,50,73716,8507,10,0,0,7
2013-10-05,60,58296,6975,10,0,0,1
2013-10-06,70,0,0,0,0,0,1
2013-10-07,10,91538,9631,10,10,0,7
2013-10-08,20,74016,8173,10,10,0,7
2013-10-09,30,66889,7495,10,10,0,7
2013-10-10,40,66251,7542,10,10,0,7
2013-10-11,50,69065,7770,10,10,0,7
2013-10-12,60,57787,6762,10,0,0,1
2013-10-13,70,0,0,0,0,0,1
2013-10-14,10,63266,7720,10,0,0,4
2013-10-15,20,51965,6444,10,0,0,4
2013-10-16,30,54795,6906,10,0,0,4
2013-10-17,40,51850,6452,10,0,0,4
2013-10-18,50,56912,7044,10,0,0,4
2013-10-19,60,57532,6887,10,0,0,0
2013-10-20,70,0,0,0,0,0,0
2013-10-21,10,86085,9525,10,10,0,1
2013-10-22,20,70261,8101,10,10,0,1
2013-10-23,30,66330,7776,10,10,0,1
2013-10-24,40,65633,7867,10,10,0,1
2013-10-25,50,66920,7842,10,10,0,1
2013-10-26,60,56157,6795,10,0,0,0
2013-10-27,70,0,0,0,0,0,0
2013-10-28,10,53692,6824,10,0,0,3
2013-10-29,20,57208,6988,10,0,0,3
2013-10-30,30,62419,7452,10,0,0,3
2013-10-31,40,72774,8626,10,0,0,2
2013-11-01,50,48396,5718,7,0,3,1
2013-11-02,60,69759,7912,10,0,0,0
2013-11-03,70,0,0,0,0,0,0
2013-11-04,10,89883,9120,10,10,0,0
2013-11-05,20,80165,8808,10,10,0,0
2013-11-06,30,71907,7952,10,10,0,0
2013-11-07,40,68561,7846,10,10,0,0
2013-11-08,50,73431,8367,10,10,0,0
2013-11-09,60,62545,7233,10,0,0,0
2013-11-10,70,0,0,0,0,0,0
2013-11-11,10,61958,7694,10,0,0,0
2013-11-12,20,56065,6888,10,0,0,0
2013-11-13,30,58166,7055,10,0,0,0
2013-11-14,40,56741,7090,10,0,0,0
2013-11-15,50,63987,7392,10,0,0,0
2013-11-16,60,62429,7313,10,0,0,0
2013-11-17,70,0,0,0,0,0,0
2013-11-18,10,90156,9526,10,10,0,0
2013-11-19,20,77554,8519,10,10,0,0
2013-11-20,30,68921,7676,10,10,0,0
2013-11-21,40,71144,8022,10,10,0,0
2013-11-22,50,74028,8243,10,10,0,0
2013-11-23,60,61817,7175,10,0,0,0
2013-11-24,70,0,0,0,0,0,0
2013-11-25,10,70283,8080,10,0,0,0
2013-11-26,20,63375,7523,10,0,0,0
2013-11-27,30,66325,7485,10,0,0,0
2013-11-28,40,67687,7783,10,0,0,0
2013-11-29,50,85422,8858,10,0,0,0
2013-11-30,60,85674,8961,10,0,0,0
2013-12-01,70,0,0,0,0,0,0
2013-12-02,10,109079,10873,10,10,0,0
2013-12-03,20,94050,9598,10,10,0,0
2013-12-04,30,88827,9007,10,10,0,0
2013-12-05,40,90237,8990,10,10,0,0
2013-12-06,50,73445,7852,10,10,0,0
2013-12-07,60,69527,7777,10,0,0,0
2013-12-08,70,0,0,0,0,0,0
2013-12-09,10,71851,8440,10,0,0,0
2013-12-10,20,68000,8103,10,0,0,0
2013-12-11,30,67303,7830,10,0,0,0
2013-12-12,40,67914,7867,10,0,0,0
2013-12-13,50,70708,8026,10,0,0,0
2013-12-14,60,71749,7962,10,0,0,0
2013-12-15,70,0,0,0,0,0,0
2013-12-16,10,129428,11888,10,10,0,0
2013-12-17,20,105808,10478,10,10,0,0
2013-12-18,30,103580,10537,10,10,0,0
2013-12-19,40,101351,10320,10,10,0,0
2013-12-20,50,106047,11028,10,10,0,0
2013-12-21,60,92440,9750,10,0,0,0
2013-12-22,70,0,0,0,0,0,0
2013-12-23,10,131575,14318,10,0,0,10
2013-12-24,20,51988,5976,10,0,0,10
2013-12-25,30,0,0,0,0,10,10
2013-12-26,40,0,0,0,0,10,10
2013-12-27,50,74041,8559,10,0,0,10
2013-12-28,60,65793,7397,10,0,0,1
2013-12-29,70,0,0,0,0,0,1
2013-12-30,10,96986,10608,10,0,0,10
2013-12-31,20,49398,5941,10,0,0,10
2014-01-01,30,0,0,0,0,10,10
2014-01-02,40,68690,8002,10,0,0,10
2014-01-03,50,66123,7858,10,0,0,10
2014-01-04,60,61690,7293,10,0,0,0
2014-01-05,70,0,0,0,0,0,0
2014-01-06,10,77607,8204,8,10,2,4
2014-01-07,20,92369,9692,10,10,0,1
2014-01-08,30,75039,8276,10,10,0,0
2014-01-09,40,69866,7773,10,10,0,0
2014-01-10,50,74564,8511,10,10,0,0
2014-01-11,60,61202,7168,10,0,0,0
2014-01-12,70,0,0,0,0,0,0
2014-01-13,10,61453,7571,10,0,0,0
2014-01-14,20,55700,7185,10,0,0,0
2014-01-15,30,55329,6927,10,0,0,0
2014-01-16,40,53861,6529,10,0,0,0
2014-01-17,50,59222,7309,10,0,0,0
2014-01-18,60,61321,7147,10,0,0,0
2014-01-19,70,0,0,0,0,0,0
2014-01-20,10,90186,9024,10,10,0,0
2014-01-21,20,72494,7763,10,10,0,0
2014-01-22,30,71242,7947,10,10,0,0
2014-01-23,40,67497,7622,10,10,0,0
2014-01-24,50,70213,7814,10,10,0,0
2014-01-25,60,58299,6742,10,0,0,0
2014-01-26,70,0,0,0,0,0,0
2014-01-27,10,53826,6824,10,0,0,0
2014-01-28,20,56145,7097,10,0,0,0
2014-01-29,30,54667,6628,10,0,0,0
2014-01-30,40,58356,6987,10,0,0,1
2014-01-31,50,74407,8316,10,0,0,1
2014-02-01,60,67173,7312,10,0,0,0
2014-02-02,70,0,0,0,0,0,0
2014-02-03,10,104341,10201,10,10,0,3
2014-02-04,20,84807,9047,10,10,0,3
2014-02-05,30,74049,8166,10,10,0,3
2014-02-06,40,71245,8195,10,10,0,3
2014-02-07,50,70382,7778,10,10,0,3
2014-02-08,60,61520,7249,10,0,0,0
2014-02-09,70,0,0,0,0,0,0
2014-02-10,10,63812,8085,10,0,0,0
2014-02-11,20,57526,7378,10,0,0,0
2014-02-12,30,58037,7308,10,0,0,0
2014-02-13,40,58631,7446,10,0,0,0
2014-02-14,50,67529,8130,10,0,0,0
2014-02-15,60,61993,7175,10,0,0,0
2014-02-16,70,0,0,0,0,0,0
2014-02-17,10,91827,9712,10,10,0,0
2014-02-18,20,76121,8528,10,10,0,0
2014-02-19,30,70802,7880,10,10,0,0
2014-02-20,40,69368,7901,10,10,0,0
2014-02-21,50,69439,7958,10,10,0,0
2014-02-22,60,59320,7057,10,0,0,0
2014-02-23,70,0,0,0,0,0,0
2014-02-24,10,60477,7709,10,0,0,0
2014-02-25,20,56483,7201,10,0,0,0
2014-02-26,30,57243,7228,10,0,0,0
2014-02-27,40,60312,7379,10,0,0,0
2014-02-28,50,79569,8758,10,0,0,0
2014-03-01,60,72067,7979,10,0,0,0
2014-03-02,70,0,0,0,0,0,0
2014-03-03,10,100650,10302,10,10,0,1
2014-03-04,20,80039,8758,10,10,0,1
2014-03-05,30,78431,8451,10,10,0,1
2014-03-06,40,72128,8250,10,10,0,1
2014-03-07,50,75491,8477,10,10,0,1
2014-03-08,60,60169,7191,10,0,0,0
2014-03-09,70,0,0,0,0,0,0
2014-03-10,10,60663,7772,10,0,0,0
2014-03-11,20,58828,7314,10,0,0,0
2014-03-12,30,57204,7176,10,0,0,0
2014-03-13,40,56381,7091,10,0,0,0
2014-03-14,50,61785,7541,10,0,0,0
2014-03-15,60,62793,7324,10,0,0,0
2014-03-16,70,0,0,0,0,0,0
2014-03-17,10,87345,9388,10,10,0,0
2014-03-18,20,72059,8087,10,10,0,0
2014-03-19,30,73105,8147,10,10,0,0
2014-03-20,40,64027,7684,10,10,0,0
2014-03-21,50,69311,7880,10,10,0,0
2014-03-22,60,61223,7123,10,0,0,0
2014-03-23,70,0,0,0,0,0,0
2014-03-24,10,64214,7853,10,0,0,0
2014-03-25,20,58537,7282,10,0,0,0
2014-03-26,30,56967,6944,10,0,0,0
2014-03-27,40,57222,7046,10,0,0,0
2014-03-28,50,64680,7530,10,0,0,0
2014-03-29,60,60410,7040,10,0,0,0
2014-03-30,70,0,0,0,0,0,0
2014-03-31,10,103440,10336,10,10,0,0
2014-04-01,20,86483,9180,10,10,0,0
2014-04-02,30,79495,8605,10,10,0,0
2014-04-03,40,75207,8513,10,10,0,1
2014-04-04,50,77723,8533,10,10,0,1
2014-04-05,60,64915,7382,10,0,0,1
2014-04-06,70,0,0,0,0,0,1
2014-04-07,10,65520,8040,10,0,0,1
2014-04-08,20,61901,7296,10,0,0,1
2014-04-09,30,59267,7266,10,0,0,1
2014-04-10,40,62889,7564,10,0,0,1
2014-04-11,50,63956,7745,10,0,0,1
2014-04-12,60,63889,7279,10,0,0,1
2014-04-13,70,0,0,0,0,0,1
2014-04-14,10,99553,9802,10,10,0,7
2014-04-15,20,91919,9609,10,10,0,7
2014-04-16,30,88636,9366,10,10,0,10
2014-04-17,40,94363,10297,10,10,0,10
2014-04-18,50,0,0,0,10,10,10
2014-04-19,60,81037,9398,10,0,0,1
2014-04-20,70,0,0,0,0,0,1
2014-04-21,10,0,0,0,0,10,10
2014-04-22,20,68942,8244,10,0,0,10
2014-04-23,30,57782,6967,10,0,0,9
2014-04-24,40,57537,6974,10,0,0,9
2014-04-25,50,58207,6974,10,0,0,9
2014-04-26,60,59151,6987,10,0,0,0
2014-04-27,70,0,0,0,0,0,0
2014-04-28,10,91187,9436,10,10,0,3
2014-04-29,20,82628,8806,10,10,0,3
2014-04-30,30,99518,10309,10,10,0,3
2014-05-01,40,0,0,0,10,10,3
2014-05-02,50,104802,10552,10,10,0,7
2014-05-03,60,70870,7962,10,0,0,0
2014-05-04,70,0,0,0,0,0,0
2014-05-05,10,98412,10191,10,10,0,0
2014-05-06,20,82109,8824,10,10,0,0
2014-05-07,30,77902,8420,10,10,0,0
2014-05-08,40,74372,8306,10,10,0,0
2014-05-09,50,78672,8618,10,10,0,0
2014-05-10,60,66761,7837,10,0,0,0
2014-05-11,70,0,0,0,0,0,0
2014-05-12,10,64366,7735,10,0,0,0
2014-05-13,20,60775,7377,10,0,0,0
2014-05-14,30,60168,7361,10,0,0,0
2014-05-15,40,59471,7294,10,0,0,0
2014-05-16,50,64287,7659,10,0,0,0
2014-05-17,60,60143,7044,10,0,0,0
2014-05-18,70,0,0,0,0,0,0
2014-05-19,10,89862,9528,10,10,0,0
2014-05-20,20,75328,8367,10,10,0,0
2014-05-21,30,69679,7875,10,10,0,0
2014-05-22,40,68115,7733,10,10,0,0
2014-05-23,50,75946,8286,10,10,0,0
2014-05-24,60,60694,7016,10,0,0,0
2014-05-25,70,0,0,0,0,0,0
2014-05-26,10,66407,7805,10,0,0,0
2014-05-27,20,61431,7163,10,0,0,0
2014-05-28,30,72812,8233,10,0,0,0
2014-05-29,40,0,0,0,0,10,0
2014-05-30,50,97391,10055,10,0,0,7
2014-05-31,60,72817,8067,10,0,0,0
2014-06-01,70,0,0,0,0,0,0
2014-06-02,10,107576,10558,10,10,0,0
2014-06-03,20,89305,9245,10,10,0,0
2014-06-04,30,82700,8775,10,10,0,0
2014-06-05,40,79377,8521,10,10,0,0
2014-06-06,50,84232,9181,10,10,0,0
2014-06-07,60,70081,7998,10,0,0,0
2014-06-08,70,0,0,0,0,0,0
2014-06-09,10,0,0,0,0,10,0
2014-06-10,20,73470,8211,10,0,0,4
2014-06-11,30,67311,7724,10,0,0,2
2014-06-12,40,66321,7789,10,0,0,2
2014-06-13,50,68045,7693,10,0,0,2
2014-06-14,60,66975,7546,10,0,0,0
2014-06-15,70,0,0,0,0,0,0
2014-06-16,10,94275,9571,10,10,0,2
2014-06-17,20,80110,8621,10,10,0,2
2014-06-18,30,79018,8710,10,10,0,2
2014-06-19,40,50159,5694,7,10,3,2
2014-06-20,50,82155,8900,10,10,0,2
2014-06-21,60,60608,7111,10,0,0,0
2014-06-22,70,0,0,0,0,0,0
2014-06-23,10,64911,8075,10,0,0,0
2014-06-24,20,58478,7306,10,0,0,0
2014-06-25,30,54881,6900,10,0,0,0
2014-06-26,40,54582,6785,10,0,0,0
2014-06-27,50,64534,7602,10,0,0,0
2014-06-28,60,64605,7525,10,0,0,0
2014-06-29,70,0,0,0,0,0,0
2014-06-30,10,112804,10908,10,10,0,0
2014-07-01,18,77679,8454,9,9,0,0
2014-07-02,27,73340,8239,9,9,0,0
2014-07-03,36,65406,7592,9,9,0,0
2014-07-04,45,60055,7127,9,9,0,0
2014-07-05,54,54460,6473,9,0,0,0
2014-07-06,63,0,0,0,0,0,0
2014-07-07,9,63199,7712,9,0,0,1
2014-07-08,18,51336,6246,9,0,0,1
2014-07-09,27,49061,6222,9,0,0,4
2014-07-10,36,55020,6902,9,0,0,4
2014-07-11,45,54218,6620,9,0,0,4
2014-07-12,54,49822,5674,9,0,0,0
2014-07-13,63,0,0,0,0,0,0
2014-07-14,9,66371,6911,8,9,0,7
2014-07-15,18,58987,6174,8,9,0,7
2014-07-16,27,58105,6274,8,9,0,7
2014-07-17,36,56287,6172,8,9,0,7
2014-07-18,45,55096,6071,8,9,0,7
2014-07-19,54,42409,5052,8,0,0,0
2014-07-20,63,0,0,0,0,0,0
2014-07-21,9,50615,6088,8,0,0,7
2014-07-22,18,45380,5450,8,0,0,7
2014-07-23,27,42947,5238,8,0,0,7
2014-07-24,36,41611,5266,9,0,0,7
2014-07-25,45,56284,6969,9,0,0,7
2014-07-26,54,52698,6364,9,0,0,0
2014-07-27,63,0,0,0,0,0,0
2014-07-28,9,75787,8070,9,9,0,7
2014-07-29,18,64167,7125,9,9,0,7
2014-07-30,27,70282,7536,9,9,0,7
2014-07-31,36,77117,8157,9,9,0,9
2014-08-01,45,70976,7883,9,9,0,9
2014-08-02,54,53496,6395,9,0,0,1
2014-08-03,63,0,0,0,0,0,1
2014-08-04,9,80907,8431,9,9,0,9
2014-08-05,18,67110,7546,9,9,0,9
2014-08-06,27,61243,6874,9,9,0,9
2014-08-07,36,63569,7129,9,9,0,9
2014-08-08,45,61517,7013,9,9,0,9
2014-08-09,54,49137,5903,9,0,0,1
2014-08-10,63,0,0,0,0,0,1
2014-08-11,9,58148,7083,9,0,0,9
2014-08-12,18,51065,6408,9,0,0,9
2014-08-13,27,49253,6262,9,0,0,9
2014-08-14,36,49614,6215,9,0,0,9
2014-08-15,45,52772,6312,9,0,0,9
2014-08-16,54,49450,6106,9,0,0,1
2014-08-17,63,0,0,0,0,0,1
2014-08-18,9,81169,8532,9,9,0,9
2014-08-19,18,70504,7635,9,9,0,9
2014-08-20,27,63720,7053,9,9,0,8
2014-08-21,36,60680,7048,9,9,0,8
2014-08-22,45,61510,7163,9,9,0,8
2014-08-23,54,52995,6421,9,0,0,1
2014-08-24,63,0,0,0,0,0,1
2014-08-25,9,63877,7963,9,0,0,2
2014-08-26,18,55971,7155,9,0,0,2
2014-08-27,27,53535,6748,9,0,0,2
2014-08-28,36,53205,6641,9,0,0,2
2014-08-29,45,67698,7722,9,0,0,2
2014-08-30,54,62207,6985,9,0,0,1
2014-08-31,63,0,0,0,0,0,1
2014-09-01,9,88746,9271,9,9,0,2
2014-09-02,18,71002,8027,9,9,0,2
2014-09-03,27,65747,7562,9,9,0,2
2014-09-04,36,62516,7388,9,9,0,2
2014-09-05,45,65667,7547,9,9,0,2
2014-09-06,54,50787,6251,9,0,0,1
